,PE,PB,ROE,ROA,DebtToEquity,Beta,MarketCap,Momentum_6m,Volatility,RSI,MACD,SMA_50,SMA_200,Volume_Price_Ratio,Return_6m
CF,11.106084,2.5509474,0.18503,0.07745,42.756,0.979,12690692096,-0.07169348706275147,0.31097967750146627,42.00113916522174,0.24847952870177115,83.62293685913086,81.25315956115723,21345.45358820025,-0.07169348706275147
CRL,817.375,2.4152324,0.0070599997,0.0434,79.277,1.448,8360373248,-0.20562218068485927,0.3718086839820218,46.12753123028848,-0.6244215394766808,166.35109985351562,192.20792518615724,1446.6003436039284,-0.20562218068485927
SCHW,27.010035,3.7741845,0.13303,0.012209999,121.987,0.978,146463916032,0.24340130862030107,0.27691084153884443,61.4595276911219,0.6836040317071601,78.92672317504883,72.42289051055909,34218.01543960417,0.24340130862030107
CHTR,10.636467,3.3892488,0.34004003,0.055609997,493.104,1.135,52853350400,0.12642257960917735,0.36578897339325755,45.640957967596655,0.7284274862558743,357.30199768066404,345.76254928588867,1250.221627783959,0.12642257960917735
CVX,17.002056,1.9193292,0.11266,0.056160003,19.334,1.062,290956771328,0.15868698647723378,0.19855825294427723,79.74471549516261,1.0153532817677011,155.7981298828125,149.96311737060546,26990.821422395074,0.15868698647723378
CMG,44.833332,18.5,0.45673,0.14156,124.212,1.274,67448496128,-0.13043858487328208,0.31061635749906386,33.70164993473021,0.15450748552349003,54.22830009460449,57.46845010757446,114400.04159196712,-0.13043858487328208
CB,12.810132,1.8200425,0.14597,0.0301,30.289,0.674,116520722432,0.0037642976999692213,0.19136277131299848,55.02660146500822,-0.4081823877476616,277.49339965820315,276.124652633667,1631.5244198863486,0.0037642976999692213
CHD,44.35654,5.927544,0.14247,0.083380006,55.162,0.565,25872314368,0.022170560819247287,0.17801226772610493,30.08275653041929,-0.6861058029877158,107.29984939575195,104.62019485473633,3592.40903686088,0.022170560819247287
CI,26.066889,2.1062782,0.086260006,0.03925,77.521,0.533,85580668928,-0.1055411891413256,0.2579264405167596,54.92912035887486,-0.5821976159404381,301.01673767089846,320.23696029663085,1127.2467604258559,-0.1055411891413256
CINF,10.017906,1.6325845,0.17608,0.052529998,6.279,0.674,22773944320,0.09312843434945739,0.22825519047300347,57.82439696047059,0.3227931363384384,139.42321075439452,134.98452507019044,1434.6211354884108,0.09312843434945739
